"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"374038 (2004 HW)",2.691,0.6353,0.83,219.87,62.78,0.981,4.40,4.41,6798,0,344,,,17.20
"374158 (2004 UL)",1.266,0.9266,23.85,39.47,149.68,0.093,2.44,1.43,8418,0,279,,,18.67
"374851 (2006 VV2)",2.387,0.6054,23.73,9.82,145.04,0.942,3.83,3.69,8037,0,1574,1,0,16.72
"374855 (2006 VQ13)",1.099,0.4458,16.70,233.68,73.80,0.609,1.59,1.15,8469,0,603,,,20.11
"375054 (2007 PF6)",1.298,0.4164,25.60,316.33,251.27,0.758,1.84,1.48,4180,0,100,,,20.81
"375103 (2007 TD71)",1.286,0.2799,49.75,49.58,220.75,0.926,1.65,1.46,7390,0,150,,,18.50
"377097 (2002 WQ4)",1.958,0.5564,3.94,266.87,244.62,0.869,3.05,2.74,23210,0,230,,,19.69
"377732 (2005 XJ8)",1.931,0.6204,23.56,115.79,67.46,0.733,3.13,2.68,6860,0,853,,,17.07
"378160 (2006 WX1)",0.9165,0.3003,11.64,327.96,290.95,0.641,1.19,0.877,5877,0,254,,,19.68
"378358 (2007 LD)",1.726,0.4393,16.51,226.16,316.98,0.968,2.48,2.27,5806,0,141,,,19.32
"380636 (2004 XN14)",0.9314,0.2666,10.74,120.82,115.75,0.683,1.18,0.899,6621,0,427,,,19.76
"380981 (2006 SU131)",1.727,0.3954,9.66,107.37,167.73,1.044,2.41,2.27,6608,0,522,,,18.69
"381906 (2010 CL19)",1.543,0.6455,7.31,243.78,76.82,0.547,2.54,1.92,8416,0,1101,2,0,17.80
"382395 (1990 SM)",2.106,0.7639,11.61,136.17,107.74,0.497,3.71,3.06,13522,0,212,,,16.46
"382406 (1996 AJ1)",1.31,0.7814,2.54,90.94,238.33,0.286,2.33,1.5,9877,0,116,,,20.57
"382745 (2003 CC)",1.501,0.3268,2.32,136.29,103.24,1.010,1.99,1.84,4986,0,176,,,20.41
"382758 (2003 GY)",1.38,0.3172,4.67,321.79,334.15,0.942,1.82,1.62,7678,0,371,1,2,20.19
"382825 (2003 XB22)",1.405,0.3935,29.96,108.76,118.29,0.852,1.96,1.67,7517,0,358,,,19.30
"385186 (1994 AW1)",1.105,0.0755,24.10,290.34,37.13,1.022,1.19,1.16,13614,0,2888,4,0,17.64
"385252 (2001 EB18)",1.053,0.1837,50.06,155.46,101.92,0.860,1.25,1.08,5301,0,82,3,1,19.41
"385343 (2002 LV)",2.314,0.6052,29.53,132.15,224.23,0.914,3.72,3.52,7937,0,1943,,,16.56
"385605 (2005 EJ225)",1.706,0.5736,8.86,341.99,290.71,0.728,2.68,2.23,6877,0,260,,,18.95
"386454 (2008 XM)",1.222,0.9093,5.45,240.61,27.39,0.111,2.33,1.35,5486,0,104,,,20.03
"386847 (2010 LR33)",1.692,0.4625,5.83,352.07,333.22,0.909,2.47,2.2,8326,0,396,,,18.06
"387505 (1998 KN3)",1.542,0.8734,2.29,313.24,71.25,0.195,2.89,1.92,9106,0,1501,,,18.78
"387668 (2002 SZ)",1.297,0.4335,22.89,346.84,276.56,0.735,1.86,1.48,4189,0,158,,,20.51
"387746 (2003 MH4)",1.964,0.5133,3.90,259.55,323.53,0.956,2.97,2.75,4236,0,283,,,20.10
"388188 (2006 DP14)",1.365,0.7762,11.77,317.11,59.34,0.305,2.42,1.59,6312,0,519,3,1,19.00
"388945 (2008 TZ3)",1.592,0.3919,8.69,43.95,219.68,0.968,2.22,2.01,5838,0,2186,3,4,20.45
"389694 (2011 QD48)",1.545,0.4921,19.07,358.79,106.79,0.785,2.31,1.92,2940,0,821,,,18.20
"390725 (2003 HB)",0.8497,0.3805,18.11,70.36,306.76,0.526,1.17,0.783,6600,0,258,,,19.70
"390929 (2005 GP21)",1.308,0.2246,18.80,9.99,1.42,1.014,1.60,1.5,6595,1,277,,,20.44
"391211 (2006 HZ51)",1.897,0.4502,12.41,84.26,193.34,1.043,2.75,2.61,8152,0,207,,,18.48
"395207 (2010 HQ80)",1.568,0.4893,27.85,218.47,66.30,0.801,2.34,1.96,4599,0,318,,,19.62
"398188 Agni (2010 LE15)",0.8646,0.2733,13.25,134.18,328.62,0.628,1.10,0.804,7726,0,684,7,6,19.33
"399457 (2002 PD43)",2.507,0.9563,25.94,315.04,210.99,0.110,4.90,3.97,7318,0,179,,,19.30
"399774 (2005 NB7)",2.044,0.5174,12.70,199.16,348.16,0.987,3.10,2.92,7916,0,928,1,1,18.80
"401856 (2000 KW43)",1.452,0.4779,24.27,82.62,63.60,0.758,2.15,1.75,7702,0,263,,,20.27
"401954 (2002 RW25)",0.8245,0.2866,1.35,92.00,72.06,0.588,1.06,0.749,7675,0,161,,,18.89
"403775 (2011 HS4)",0.9383,0.6801,5.46,117.48,314.28,0.300,1.58,0.909,8040,0,135,,,20.90
"405212 (2003 QC10)",1.373,0.7313,5.04,359.96,120.87,0.369,2.38,1.61,7207,0,399,,,18.04
"405762 (2005 YO180)",1.481,0.4480,5.77,7.72,87.75,0.817,2.14,1.8,7082,0,68,,,20.29
"406213 (2007 AB2)",1.919,0.5457,1.46,126.84,280.93,0.872,2.97,2.66,5894,0,706,,,20.34
"408792 (2000 GF2)",1.341,0.3777,9.63,176.01,108.10,0.834,1.85,1.55,7263,0,362,,,20.56
"409836 (2006 QY110)",1.924,0.5741,6.40,222.61,221.63,0.819,3.03,2.67,6126,0,247,,,18.07
"410627 (2008 RG1)",1.316,0.4431,13.09,347.79,257.45,0.733,1.90,1.51,4419,0,166,,,20.89
"410778 (2009 FG19)",2.912,0.7191,54.50,187.51,120.40,0.818,5.01,4.97,5674,0,347,4,1,18.14
"412983 (1996 FO3)",1.442,0.2900,5.81,333.54,162.82,1.024,1.86,1.73,9557,0,336,,,20.16
"413260 (2003 TL4)",0.7768,0.3814,12.19,220.00,321.98,0.481,1.07,0.685,7013,0,459,4,6,19.56
