"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   73P/Schwassmann-Wachmann 3-AO",3.072,0.6938,11.33,70.39,198.17,0.941,5.20,5.38,2,9,19,,,
"   73P/Schwassmann-Wachmann 3-AP",3.144,0.7014,11.47,69.97,198.74,0.939,5.35,5.58,15,8,95,,,
"   73P/Schwassmann-Wachmann 3-AQ",3.088,0.6959,11.41,69.92,198.77,0.939,5.24,5.43,27,7,185,,,
"   73P/Schwassmann-Wachmann 3-AR",3.087,0.6958,11.41,69.97,198.71,0.939,5.24,5.43,14,9,15,,,
"   73P/Schwassmann-Wachmann 3-AS",3.141,0.7011,11.46,69.98,198.72,0.939,5.34,5.57,12,8,36,,,
"   73P/Schwassmann-Wachmann 3-AT",3.001,0.6869,11.33,69.85,198.81,0.940,5.06,5.2,21,8,25,,,
"   73P/Schwassmann-Wachmann 3-AU",3.058,0.6928,11.38,69.91,198.76,0.939,5.18,5.35,30,8,12,,,
"   73P/Schwassmann-Wachmann 3-AV",3.062,0.6934,11.40,69.87,198.86,0.939,5.19,5.36,19,8,9,,,
"   73P/Schwassmann-Wachmann 3-AW",2.678,0.6482,10.98,69.48,199.09,0.942,4.41,4.38,7,9,29,,,
"   73P/Schwassmann-Wachmann 3-AX",3.05,0.6925,11.43,69.47,199.25,0.938,5.16,5.33,2,9,16,,,
"   73P/Schwassmann-Wachmann 3-AY",2.8,0.6640,11.13,69.59,199.02,0.941,4.66,4.69,7,9,27,,,
"   73P/Schwassmann-Wachmann 3-AZ",2.647,0.6441,10.93,69.50,199.04,0.942,4.35,4.31,7,9,11,,,
"   73P/Schwassmann-Wachmann 3-BA",2.961,0.6824,11.27,69.92,198.69,0.940,4.98,5.09,7,9,14,,,
"   73P/Schwassmann-Wachmann 3-BB",2.968,0.6824,11.19,70.47,197.93,0.942,4.99,5.11,2,9,15,,,
"   73P/Schwassmann-Wachmann 3-BC",3.134,0.7005,11.46,69.96,198.75,0.939,5.33,5.55,11,8,63,,,
"   73P/Schwassmann-Wachmann 3-BD",2.979,0.6824,10.97,71.42,196.46,0.946,5.01,5.14,6,9,8,,,
"   73P/Schwassmann-Wachmann 3-BE",2.958,0.6824,11.32,69.69,199.00,0.939,4.98,5.09,5,9,16,,,
"   73P/Schwassmann-Wachmann 3-BF",2.989,0.6857,11.32,69.83,198.81,0.940,5.04,5.17,11,8,13,,,
"   73P/Schwassmann-Wachmann 3-BG",2.98,0.6848,11.32,69.72,198.95,0.939,5.02,5.14,7,9,11,,,
"   73P/Schwassmann-Wachmann 3-BH",2.959,0.6824,11.29,69.80,198.84,0.940,4.98,5.09,6,9,9,,,
"   73P/Schwassmann-Wachmann 3-BI",2.96,0.6825,11.30,69.75,198.91,0.940,4.98,5.09,7,9,23,,,
"   73P/Schwassmann-Wachmann 3-BJ",3.041,0.6911,11.37,69.88,198.80,0.939,5.14,5.3,8,9,13,,,
