"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2005 WC2)",2.476,0.5189,6.87,236.07,222.50,1.191,3.76,3.9,71,5,44,,,22.40
"       (2005 WM3)",2.673,0.6203,1.23,240.05,190.35,1.015,4.33,4.37,2,7,34,,,27.70
"       (2005 WN3)",2.488,0.7258,0.48,242.76,255.59,0.682,4.29,3.92,,8,15,,,29.90
"       (2005 WO3)",1.555,0.3478,22.65,64.20,312.28,1.014,2.10,1.94,5,9,18,,,23.50
"       (2005 WP3)",2.294,0.5542,4.78,62.87,353.43,1.022,3.57,3.47,5,8,21,,,24.90
"       (2005 WQ3)",1.746,0.6276,11.09,63.11,269.45,0.650,2.84,2.31,6,9,24,,,24.30
"       (2005 WR3)",1.297,0.2941,34.25,65.97,265.71,0.916,1.68,1.48,15,8,48,,,21.34
"       (2005 WS3)",0.6716,0.5755,23.07,69.38,176.10,0.285,1.06,0.55,5830,0,167,,,21.23
"       (2005 WF4)",1.511,0.2335,15.97,58.33,21.72,1.158,1.86,1.86,4779,0,28,,,23.00
"       (2005 WG4)",2.467,0.6066,10.41,63.66,309.31,0.971,3.96,3.88,8,9,20,,,24.90
"       (2005 WH4)",2.225,0.4905,22.14,72.85,17.42,1.134,3.32,3.32,3648,0,117,,,20.40
"       (2005 WR54)",1.943,0.4079,14.80,73.37,326.22,1.150,2.74,2.71,6864,0,124,,,19.26
"       (2005 WE55)",1.742,0.3978,23.52,63.11,87.53,1.049,2.43,2.3,24,7,20,,,21.60
"       (2005 WF55)",1.501,0.3248,2.26,244.74,182.13,1.013,1.99,1.84,23,7,31,,,26.30
"       (2005 WY55)",2.492,0.7188,7.27,247.95,286.43,0.701,4.28,3.93,1451,0,135,,,20.70
"       (2005 WZ55)",1.721,0.3906,8.50,249.45,165.42,1.049,2.39,2.26,23,7,43,,,24.40
"       (2005 WK56)",1.621,0.3928,5.35,76.44,321.71,0.984,2.26,2.06,26,3,143,1,2,22.60
"       (2005 WF57)",2.639,0.5841,10.94,60.08,307.18,1.097,4.18,4.29,4758,0,136,,,19.40
"       (2005 WG57)",1.797,0.4924,0.43,161.65,212.31,0.912,2.68,2.41,35,7,82,,,23.91
"       (2005 WP57)",1.858,0.4102,10.56,252.37,183.76,1.096,2.62,2.53,40,6,24,,,23.40
"       (2005 XA)",2.531,0.6656,5.36,67.23,48.30,0.846,4.22,4.03,6,4,39,0,1,26.30
"       (2005 XC)",2.282,0.5625,3.66,215.66,189.73,0.998,3.57,3.45,30,7,51,,,22.70
"       (2005 XN)",1.758,0.4182,21.16,71.89,335.95,1.023,2.49,2.33,3,8,20,,,24.30
"       (2005 XX)",2.314,0.5903,1.15,239.93,223.26,0.948,3.68,3.52,5,8,34,,,26.80
"       (2005 XY)",2.157,0.4118,39.63,279.45,81.22,1.269,3.05,3.17,2082,2,67,,,18.82
"       (2005 XC1)",2.51,0.5940,13.01,79.24,349.68,1.019,4.00,3.98,6,8,41,,,23.90
"       (2005 XK4)",1.353,0.6050,8.62,250.63,69.63,0.534,2.17,1.57,2,9,36,,,24.50
"       (2005 XL4)",2.821,0.5755,10.49,74.62,7.66,1.197,4.44,4.74,24,8,32,,,22.80
"       (2005 XN4)",1.878,0.5811,58.05,70.67,93.52,0.787,2.97,2.57,6603,0,113,,,19.89
"       (2005 XO4)",2.293,0.5964,2.37,297.01,179.68,0.926,3.66,3.47,23,8,35,,,22.20
"       (2005 XW4)",1.041,0.7119,18.39,73.07,145.53,0.300,1.78,1.06,6585,0,190,,,21.62
"       (2005 XX4)",1.752,0.4528,22.28,251.99,149.07,0.959,2.55,2.32,,9,15,,,24.30
"       (2005 XY4)",1.056,0.5983,1.91,163.06,143.44,0.424,1.69,1.09,25,7,20,,,23.50
"       (2005 XY7)",2.723,0.5246,4.41,295.59,88.88,1.294,4.15,4.49,9911,0,584,,,18.01
"       (2005 XZ7)",0.9686,0.3207,32.70,75.70,238.63,0.658,1.28,0.953,3,8,30,,,24.20
"       (2005 XA8)",1.418,0.4370,5.35,253.99,111.38,0.799,2.04,1.69,18,7,62,,,25.70
"       (2005 XN27)",2.405,0.6341,0.30,215.58,169.50,0.880,3.93,3.73,3,8,30,,,24.50
"       (2005 XO66)",1.663,0.4432,1.20,296.90,188.52,0.926,2.40,2.14,10,7,32,,,24.60
"       (2005 XP66)",2.799,0.5808,2.92,214.89,274.41,1.173,4.42,4.68,5221,0,123,,,20.10
"       (2005 XT77)",0.8411,0.2665,17.22,84.79,150.01,0.617,1.07,0.771,6204,0,122,,,21.41
"       (2005 XW77)",1.615,0.3556,16.44,268.71,100.14,1.041,2.19,2.05,1488,1,58,,,20.78
"       (2005 XX77)",1.526,0.3459,5.72,79.17,330.00,0.998,2.05,1.88,20,7,24,,,23.90
"       (2005 YC)",3.248,0.6099,24.20,296.36,123.57,1.267,5.23,5.85,4461,0,110,,,18.73
"       (2005 YD)",1.653,0.4258,4.78,90.70,314.14,0.949,2.36,2.13,13,8,28,,,24.50
"       (2005 YK)",1.062,0.3076,5.63,269.47,80.53,0.735,1.39,1.09,3,7,13,,,26.90
"       (2005 YY1)",1.164,0.2522,8.34,84.04,279.26,0.871,1.46,1.26,14,7,26,,,23.10
"       (2005 YN3)",1.771,0.3629,36.42,276.94,85.77,1.128,2.41,2.36,5123,0,65,,,19.28
"       (2005 YO3)",0.7595,0.3732,12.80,274.22,20.14,0.476,1.04,0.662,13,7,21,,,25.10
"       (2005 YR3)",0.8194,0.2733,3.28,75.28,217.79,0.595,1.04,0.742,1133,1,82,,,23.72
"       (2005 YU3)",2.552,0.8411,3.02,2.51,341.49,0.406,4.70,4.08,2971,0,82,,,19.80
"       (2005 YS8)",1.697,0.5293,17.37,56.47,298.21,0.799,2.59,2.21,28,8,32,,,20.00
"       (2005 YT8)",2.551,0.5860,10.92,282.79,166.44,1.056,4.05,4.08,64,5,151,,,21.60
"       (2005 YU8)",2.014,0.5430,4.03,279.30,237.30,0.920,3.11,2.86,17,8,44,,,23.70
"       (2005 YA37)",1.28,0.2276,2.24,93.05,88.81,0.988,1.57,1.45,6031,0,56,,,22.32
"       (2005 YP55)",2.285,0.4357,6.95,105.01,268.07,1.290,3.28,3.46,8876,0,48,,,19.20
"       (2005 YT55)",2.25,0.4613,2.31,141.32,11.97,1.212,3.29,3.38,6355,0,176,,,20.77
"       (2005 YW93)",2.642,0.5476,13.53,183.66,140.62,1.195,4.09,4.29,4629,0,79,,,19.20
"       (2005 YL128)",1.355,0.4473,18.45,280.80,309.33,0.749,1.96,1.58,3999,1,62,,,20.80
"       (2005 YN128)",1.656,0.4410,2.57,285.00,117.59,0.926,2.39,2.13,7,9,20,,,24.10
"       (2005 YO128)",0.821,0.2967,15.59,281.71,328.42,0.577,1.06,0.744,5,7,36,,,24.60
"       (2005 YT128)",2.616,0.5712,27.23,293.98,115.25,1.122,4.11,4.23,39,6,60,,,20.85
"       (2005 YU128)",0.7715,0.3223,7.75,100.78,189.95,0.523,1.02,0.678,4,8,27,,,25.30
"       (2006 AN)",1.094,0.2205,7.41,277.53,273.45,0.853,1.34,1.14,5844,0,76,,,24.36
"       (2006 AX)",1.29,0.1416,11.67,280.48,232.88,1.107,1.47,1.46,25,7,17,,,23.90
"       (2006 AV2)",2.408,0.4799,6.02,304.17,184.43,1.252,3.56,3.74,5580,0,169,,,20.40
"       (2006 AB3)",1.717,0.4115,8.43,285.12,189.30,1.010,2.42,2.25,3,8,21,,,26.80
"       (2006 AC3)",2.348,0.5742,3.06,108.74,322.67,1.000,3.70,3.6,19,8,32,,,24.20
"       (2006 AP3)",1.722,0.3728,9.99,289.69,172.47,1.080,2.36,2.26,26,7,40,,,23.80
"       (2006 AQ3)",2.459,0.6319,22.79,289.21,270.49,0.905,4.01,3.86,222,5,30,,,21.50
"       (2006 AR3)",2.469,0.6364,4.71,12.29,40.85,0.898,4.04,3.88,1507,1,128,,,20.60
"       (2006 AS3)",1.337,0.3293,13.41,289.29,245.36,0.897,1.78,1.55,3,8,40,,,24.75
"       (2006 AT3)",2.286,0.5324,14.78,288.23,178.74,1.069,3.50,3.46,15,8,35,,,24.40
"       (2006 AU3)",2.271,0.5620,1.42,114.66,0.11,0.995,3.55,3.42,3,7,32,,,26.30
"       (2006 AF4)",2.297,0.5507,6.71,296.14,132.23,1.032,3.56,3.48,24,8,36,,,23.80
"       (2006 AG4)",2.554,0.5217,5.63,107.29,340.23,1.222,3.89,4.08,30,7,27,,,23.10
"       (2006 AH4)",1.925,0.4719,0.67,279.31,208.68,1.016,2.83,2.67,3,8,24,,,26.30
"       (2006 AJ4)",1.465,0.1173,18.45,115.01,256.28,1.293,1.64,1.77,5875,0,51,,,21.07
"       (2006 AK4)",2.652,0.6303,8.53,298.22,115.20,0.980,4.32,4.32,18,7,23,,,23.20
"       (2006 AL4)",2.507,0.5938,2.76,102.88,28.44,1.018,4.00,3.97,5843,0,66,,,24.92
"       (2006 AM4)",0.9822,0.6493,4.15,123.32,139.65,0.344,1.62,0.973,737,1,183,5,0,21.80
"       (2006 AN4)",2.005,0.4725,9.57,119.54,53.51,1.058,2.95,2.84,7379,0,133,,,20.64
"       (2006 AL8)",3.333,0.8878,35.86,311.93,65.93,0.374,6.29,6.09,6665,0,208,1,1,18.41
"       (2006 AM8)",1.871,0.7951,10.17,57.09,188.56,0.383,3.36,2.56,6567,0,128,,,19.59
"       (2006 AN8)",1.496,0.2260,3.71,303.00,173.73,1.158,1.83,1.83,1,9,13,,,24.40
"       (2006 AW44)",2.475,0.5684,8.71,108.53,1.18,1.068,3.88,3.89,45,6,46,,,23.40
"       (2006 AX44)",1.577,0.3015,2.29,111.09,22.71,1.102,2.05,1.98,45,6,34,,,24.80
"       (2006 BA)",1.121,0.2179,3.55,298.44,250.84,0.876,1.36,1.19,3,6,50,,,27.60
"       (2006 BC)",1.406,0.8276,18.11,320.67,281.59,0.242,2.57,1.67,6827,0,143,,,19.25
"       (2006 BF)",1.472,0.3910,5.01,101.89,322.09,0.896,2.05,1.79,10,8,66,,,23.60
"       (2006 BO6)",2.868,0.6476,9.47,294.69,152.76,1.011,4.73,4.86,29,7,53,,,22.50
"       (2006 BP6)",2.392,0.5970,18.73,105.69,90.16,0.964,3.82,3.7,141,5,70,,,20.70
"       (2006 BO7)",1.436,0.4034,0.34,294.29,248.50,0.857,2.02,1.72,2,7,15,,,29.30
"       (2006 BP7)",2.33,0.5845,4.81,327.40,109.66,0.968,3.69,3.56,33,8,41,,,23.30
"       (2006 BQ7)",1.347,0.2572,4.97,302.14,155.06,1.000,1.69,1.56,9,8,23,,,26.50
"       (2006 BU7)",1.176,0.1078,8.24,121.78,348.59,1.049,1.30,1.27,5,7,23,,,26.30
"       (2006 BW7)",1.479,0.4099,1.37,305.49,116.95,0.872,2.08,1.8,5,8,23,,,26.50
"       (2006 BX7)",1.14,0.2821,4.90,313.24,77.61,0.818,1.46,1.22,16,7,33,,,24.60
"       (2006 BY7)",1.874,0.4546,3.17,302.82,162.22,1.022,2.73,2.57,4,8,25,,,25.90
"       (2006 BA8)",1.838,0.3688,9.29,305.03,177.31,1.160,2.52,2.49,12,8,27,,,24.10
"       (2006 BB8)",1.639,0.4408,7.34,121.60,312.95,0.916,2.36,2.1,14,8,24,,,24.50
"       (2006 BC8)",1.227,0.4315,6.89,303.26,91.27,0.698,1.76,1.36,15,7,80,,,25.10
"       (2006 BL8)",1.122,0.2982,12.23,121.28,92.23,0.788,1.46,1.19,6,8,32,,,24.70
"       (2006 BM8)",1.543,0.5305,5.20,121.64,282.07,0.724,2.36,1.92,13,7,61,,,25.30
"       (2006 BY8)",2.469,0.6757,2.68,301.28,121.84,0.801,4.14,3.88,8,8,28,,,26.60
"       (2006 BA9)",0.9124,0.3661,8.32,305.83,25.64,0.578,1.25,0.872,5147,1,59,,,22.70
"       (2006 BB9)",2.683,0.6728,6.70,302.35,132.29,0.878,4.49,4.4,8,8,37,,,25.80
"       (2006 BN26)",1.997,0.5094,1.58,178.58,266.41,0.980,3.01,2.82,13,8,50,,,23.48
"       (2006 BX26)",2.227,0.4852,6.77,121.99,326.18,1.147,3.31,3.32,12,8,22,,,23.40
"       (2006 BV39)",1.145,0.2708,0.74,127.48,74.74,0.835,1.45,1.22,2,6,37,,,29.10
"       (2006 BW39)",1.977,0.5367,5.80,308.11,227.10,0.916,3.04,2.78,5,8,38,,,23.70
"       (2006 BX39)",1.903,0.6375,14.35,140.43,79.12,0.690,3.12,2.63,15,8,123,,,21.40
"       (2006 BD55)",1.396,0.3563,12.85,122.19,286.37,0.899,1.89,1.65,7,8,21,,,24.50
